trade_date,weekday,is_trading_day,is_weekend,is_nse_holiday,holiday_description,is_special_session,special_session_description,session_type,segment,source
2024-01-01,Monday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-02,Tuesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-03,Wednesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-04,Thursday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-05,Friday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-08,Monday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-09,Tuesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-10,Wednesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-11,Thursday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-12,Friday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-15,Monday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-16,Tuesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-17,Wednesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-18,Thursday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-19,Friday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-22,Monday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-23,Tuesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-24,Wednesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-25,Thursday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-29,Monday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-30,Tuesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-01-31,Wednesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-01,Thursday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-02,Friday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-05,Monday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-06,Tuesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-07,Wednesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-08,Thursday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-09,Friday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-12,Monday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-13,Tuesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-14,Wednesday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-15,Thursday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
2024-02-16,Friday,True,False,False,,False,,NORMAL,FO,NSE OFFICIAL F&O HOLIDAY SOURCES
